,zpid,city,zipcode,homeType,yearBuilt,latestPrice,numPriceChanges,avgSchoolDistance,Candidate
12797,29504547,austin,78739,Single Family,1999,435000.0,2,1.1666666666666667,0
12798,29479102,austin,78749,Single Family,1983,375000.0,10,2.266666666666667,0
12799,64872802,austin,78739,Single Family,2004,675000.0,2,1.7,0
12800,29481601,austin,78749,Single Family,1984,263484.0,6,3.8666666666666663,0
12801,29481624,austin,78749,Single Family,1999,400000.0,3,3.966666666666667,0
12802,29504545,austin,78739,Single Family,2001,440000.0,1,1.2,0
12803,29329811,austin,78703,Single Family,1938,925000.0,5,0.5666666666666668,1
12804,29491100,austin,78749,Single Family,1992,395000.0,5,1.9666666666666668,0
12805,29507801,austin,78739,Single Family,1991,469900.0,2,1.5333333333333332,0
12806,58315536,austin,78749,Single Family,2001,439900.0,2,1.5,0
12807,29491623,austin,78749,Single Family,1996,460000.0,1,0.9666666666666668,0
12808,29333810,austin,78703,Single Family,1955,945000.0,3,0.8666666666666666,1
12809,29484100,austin,78749,Single Family,1993,374900.0,3,3.4,0
12810,29504536,austin,78739,Single Family,1999,375000.0,2,1.1666666666666667,0
12811,70342800,austin,78739,Single Family,2005,530000.0,2,1.4666666666666666,0
12812,29487622,austin,78737,Single Family,1984,495000.0,3,2.1333333333333333,0
12813,29483599,austin,78749,Single Family,1979,349900.0,1,3.0,0
12814,29507531,austin,78749,Single Family,1996,375000.0,1,1.2333333333333334,0
12815,29491597,austin,78749,Single Family,1998,409900.0,2,1.4666666666666666,0
12816,29501798,austin,78739,Single Family,1996,584900.0,1,1.0333333333333332,0
12817,29481620,austin,78749,Single Family,1999,425000.0,3,3.9333333333333336,0
12818,29333800,austin,78703,Single Family,2019,3725000.0,2,0.9,1
12819,29491596,austin,78749,Single Family,1998,425000.0,4,1.4666666666666666,0
12820,29507528,austin,78749,Single Family,2000,479900.0,8,1.2666666666666666,0
12821,29492118,austin,78749,Single Family,1999,260000.0,6,1.2666666666666668,0
12822,58315794,austin,78739,Single Family,2001,499500.0,5,1.3333333333333333,0
12823,89550295,austin,78703,Condo,2008,750000.0,1,0.7666666666666666,1
12824,29491096,austin,78749,Single Family,1994,329900.0,4,1.9333333333333336,0
12825,29487618,austin,78737,Single Family,1980,724900.0,3,2.1,0
12826,29507525,austin,78749,Single Family,1995,445000.0,2,1.2333333333333334,0
12827,29505292,austin,78739,Single Family,1994,347500.0,7,1.6666666666666667,0
12828,29333295,austin,78703,Single Family,1951,615000.0,1,0.9,1
12829,58315790,austin,78739,Single Family,2002,525000.0,1,1.2666666666666666,0
12830,58315524,austin,78749,Single Family,2001,360000.0,1,1.4666666666666668,0
12831,29328965,austin,78703,Single Family,1918,1799000.0,3,1.2333333333333332,1
